類別,科目代碼,科目名稱,學分,成績,,
專必,4101000,計算機概論（一）,3,64,專必,34
專必,4101009,計算機概論實習（一）,1,76,專選,6
專必,4101008,計算機概論實習（二）,1,64,通識,27
專必,4101012,資訊概論,2,66,資訊能力,通過學科
專必,4102068,計算方法概論,3,60,英文能力,無
專必,4102050,組合語言,3,63,,
專必,4102130,數位系統導論實驗,1,81,,
專必,4102001,數位電子學,3,73,,
專必,4102003,數位電子學實驗,1,68,,
專必,4102085,離散數學,3,60,,
專必,4103080,作業系統設計與實作,3,61,,
專必,4103083,作業系統設計與實作實習,1,61,,
專必,4103001,作業系統概論,3,65,,
專必,4103020,程式語言導論,3,63,,
專必,4103800,資訊工程研討,1,80,,
專必,4104800,專題實驗（一）,2,88,,
專選,4103067,生物資訊概論,3,60,,
專選,4103061,數值分析,3,73,,
通識,7101058,中國語文知識及其應用（中國現代小說與電影）（次領域一）,2,80,,
通識,7101098,中國語文知識及其應用（文字學導論）（次領域一）,2,80,,
通識,7102001,英語聽講（次領域二）,2,60,,
通識,7102002,現代英語閱讀（次領域二）,2,75,,
通識,7302032,浪漫主義（次領域二）,2,61,,
通識,7305002,基督信仰與西方近代科學（次領域五）,2,82,,
通識,7403002,憲法與政府（次領域三）,2,78,,
通識,7406009,企業概論（次領域六）,2,94,,
通識,7406022,國際貿易實務（次領域六）,3,89,,
通識,7407012,生命教育（次領域七）,2,87,,
通識,7407013,職涯規劃（次領域七）,2,89,,
通識,7502001,生活化學（次領域二）,2,65,,
通識,7506003,認識海洋（次領域六）,2,74,,
