類別,科目代碼,科目名稱,學分,成績,,,
專必,2101001,微積分（一）,4,77,專業必修,44,
專必,2101002,微積分（二）,4,65,專選,0,
專必,4101031,程式設計（一）,3,88,通識教育,22,
專必,4101009,計算機概論實習（一）,1,93,資訊能力,無,
專必,4101032,程式設計（二）,3,83,英文能力,無,
專必,4101008,計算機概論實習（二）,1,69,,,
專必,4101012,資訊概論,2,80,,,
專必,4101155,線性代數,3,71,,,
專必,4101013,機率論,3,74,,,
專必,4102150,系統程式,3,76,,,
專必,4102160,物件導向程式設計,3,77,,,
專必,4102050,組合語言,3,63,,,
專必,4102100,數位系統導論,3,87,,,
專必,4102130,數位系統導論實驗,1,75,,,
專必,4102001,數位電子學,3,60,,,
專必,4102003,數位電子學實驗,1,85,,,
專必,4102085,離散數學,3,71,,,
通識,7101107,中國語文知識及其應用（中國史傳文學選讀）,2,85,,,
通識,7101118,中國語文知識及其應用（民間文學）,2,85,,,
通識,7102001,英語聽講,2,85,,,
通識,7102002,現代英語閱讀,2,90,,,
通識,7304023,造形藝術與設計,2,85,,,
通識,7304001,藝術欣賞,2,83,,,
通識,7305002,基督信仰與西方近代科學,2,84,,,
通識,7401010,法律與犯罪心理學,2,88,,,
通識,7407007,英國女性政治史話,2,82,,,
通識,7501018,今日汽車,2,84,,,
通識,7507014,綠色建築概論,2,83,,,
