類別,科目代碼,科目名稱,學分,成績,,,
專必,2101001,微積分（一）,4,90,專業必修,53,
專必,2101002,微積分（二）,4,84,專選,3,
專必,4101000,計算機概論（一）,3,99,通識教育,28,
專必,4101009,計算機概論實習（一）,1,99,資訊能力,無,
專必,4100002,計算機概論（二）,3,96,英文能力,無,
專必,4101008,計算機概論實習（二）,1,99,,,
專必,4101012,資訊概論,2,75,,,
專必,4101155,線性代數,3,81,,,
專必,4101013,機率論,3,87,,,
專必,4102090,工程數學,3,83,,,
專必,4102150,系統程式,3,82,,,
專必,4102160,物件導向程式設計,3,67,,,
專必,4102068,計算方法概論,3,66,,,
專必,4102050,組合語言,3,95,,,
專必,4102062,資料結構,3,97,,,
專必,4102100,數位系統導論,3,89,,,
專必,4102130,數位系統導論實驗,1,81,,,
專必,4102001,數位電子學,3,74,,,
專必,4102003,數位電子學實驗,1,98,,,
專必,4102085,離散數學,3,87,,,
專選,4104061,資料庫系統,3,88,,,
通識,7101084,中國語文知識及其應用（文學閱讀與習作）,2,81,,,
通識,7101104,中國語文知識及其應用（民間文學選讀）,2,82,,,
通識,,應用英語表達,2,81,,,
通識,7102002,現代英語閱讀,2,78,,,
通識,7301026,台灣電影欣賞,2,73,,,
通識,7304028,創意與藝術行銷,2,90,,,
通識,7403002,憲法與政府,2,92,,,
通識,7404013,所得稅法,2,89,,,
通識,7404005,憲法-政府組織,2,85,,,
通識,7404012,職場與法律,2,88,,,
通識,7406002,資訊與管理,2,61,,,
通識,7500006,環境、生態與科技,2,86,,,
通識,7502002,今日化工,2,79,,,
通識,7503018,醫療與健康管理,2,98,,,
