類別,科目代碼,科目名稱,學分,成績,,
專必,2101001,微積分（一）,4,73,專必,72
專必,2101002,微積分（二）,4,98,專選,15
專必,4101000,計算機概論（一）,3,80,通識,29
專必,4100002,計算機概論（二）,3,92,資訊能力,通過學科
專必,4101009,計算機概論實習（一）,1,96,英文能力,
專必,4101008,計算機概論實習（二）,1,96,,
專必,4101012,資訊概論,2,73,,
專必,4101155,線性代數,3,71,,
專必,4102090,工程數學,3,86,,
專必,4102150,系統程式,3,83,,
專必,4102160,物件導向程式設計,3,87,,
專必,4102068,計算方法概論,3,87,,
專必,4102050,組合語言,3,85,,
專必,4102062,資料結構,3,92,,
專必,4102100,數位系統導論,3,91,,
專必,4102130,數位系統導論實驗,1,92,,
專必,4102001,數位電子學,3,91,,
專必,4102003,數位電子學實驗,1,82,,
專必,4102085,離散數學,3,75,,
專必,4103080,作業系統設計與實作,3,95,,
專必,4103083,作業系統設計與實作實習,1,95,,
專必,4103001,作業系統概論,3,85,,
專必,4103055,計算機組織,3,94,,
專必,4103020,程式語言導論,3,91,,
專必,4103800,資訊工程研討,1,91,,
專必,4101013,機率論,3,91,,
專必,4104800,專題實驗（一）,2,92,,
專必,4104005,編譯器設計,3,91,,
專選,4103095,Java程式設計:企業與嵌入式系統,3,93,,
專選,4103066,人工智慧導論,3,96,,
專選,4103022,軟體工程,3,88,,
專選,4104048,網路安全概論,3,91,,
專選,4104070,多媒體系統,3,90,,
通識,7306016,中正講座（十）（次領域六）,1,89,,
通識,7101004,中國語文知識及其應用（中國古典小說）（次領域一）,2,TR,,
通識,7101008,中國語文知識及其應用（應用文）（次領域一）,2,TR,,
通識,7102001,英語聽講（次領域二）,2,80,,
通識,7102002,現代英語閱讀（次領域二）,2,74,,
通識,7301006,女性文學與影像（次領域一）,2,83,,
通識,7303002,哲學概論（次領域三）,2,93,,
通識,7304025,與雲門2共舞（次領域四）,2,83,,
通識,7401002,心理學緒論（次領域一）,2,77,,
通識,7402034,性別、文化與傳播（次領域二）,2,81,,
通識,7404016,財稅法律與生活（次領域四）,2,86,,
通識,7406001,管理學概論（次領域六）,2,70,,
通識,7407012,生命教育（次領域七）,2,81,,
通識,7503014,健康與管理（次領域三）,2,79,,
通識,7501011,建築與防震（次領域七）,2,76,,
