類別,科目代碼,科目名稱,學分,成績,,
專必,2101001,微積分（一）,4,67,專業必修,27
專必,2101002,微積分（二）,4,75,專業選修,0
專必,4101031,程式設計（一）,3,81,通識,20
專必,4101032,程式設計（二）,3,94,資訊能力,無
專必,4101033,程式設計實習（一）,1,81,英文能力,通過GEPT(全民英檢中級複試)
專必,4101034,程式設計實習（二）,1,94,,
專必,4101012,資訊概論,2,85,,
專必,4101155,線性代數,3,68,,
專必,4101013,機率論,3,79,,
專必,4102085,離散數學,3,71,,
通識,7101117,中國語文知識及其應用（老莊思想）（次領域一）,2,84,,
通識,7101071,中國語文知識及其應用（漢字與文化）（次領域一）,2,85,,
通識,7102121,實用英語技巧（強化班）（次領域二）,2,87,,
通識,7102221,應用英語技巧（強化班）（次領域二）,2,TR,,
通識,7304007,西洋音樂史（次領域四）,2,90,,
通識,7402040,媒體素養（次領域二）,2,92,,
通識,7403012,國際政治與生活（次領域三）,2,95,,
通識,7407012,生命教育（次領域七）,2,85,,
通識,7500002,在秋天遇見科學,2,83,,
通識,7502002,今日化工（次領域二）,2,96,,
