類別,科目代碼,科目名稱,學分,成績,,,
專必,2101001,微積分（一）,4,70,專業必修,53,
專必,2101002,微積分（二）,4,62,專選,0,
專必,4101000,計算機概論（一）,3,99,通識教育,16,
專必,4101009,計算機概論實習（一）,1,99,資訊能力,無,
專必,4100002,計算機概論（二）,3,81,英文能力,無,
專必,4101008,計算機概論實習（二）,1,84,,,
專必,4101012,資訊概論,2,86,,,
專必,4101155,線性代數,3,66,,,
專必,4101013,機率論,3,63,,,
專必,4102090,工程數學,3,68,,,
專必,4102150,系統程式,3,76,,,
專必,4102160,物件導向程式設計,3,76,,,
專必,4102068,計算方法概論,3,67,,,
專必,4102050,組合語言,3,86,,,
專必,4102062,資料結構,3,76,,,
專必,4102100,數位系統導論,3,82,,,
專必,4102130,數位系統導論實驗,1,85,,,
專必,4102001,數位電子學,3,86,,,
專必,4102003,數位電子學實驗,1,90,,,
專必,4102085,離散數學,3,74,,,
通識,7101112,中國語文知識及其應用（先秦諸子寓言選讀）,2,87,,,
通識,7101085,中國語文知識及其應用（易經導讀）,2,93,,,
通識,7102003,日文（一）,2,74,,,
通識,7102004,日文（二）,2,80,,,
通識,7303002,哲學概論,2,91,,,
通識,7304028,創意與藝術行銷,2,84,,,
通識,7407012,生命教育,2,86,,,
通識,7407010,創造力發展,2,84,,,
,,,,,,,
,,,,,,,
,,,,,,,
